Trade number,Instrument,Market_position,Qty,Entry_price,Exit_price,Entry_time,Exit_time,Entry_name,Exit_name,Profit,Cum_net_profit,Commission,MAE,MFE,Bars
227,NQ MAR25,Short,1,8771.25,8778.25,1/11/2018 10:48,1/11/2018 10:57,ShortEntry,StopLoss,($144.18),"$5,931.14 ",$4.18 ,$145.00 ,$0.00 ,2
228,NQ MAR25,Long,1,8835.25,8860.25,1/12/2018 10:39,1/12/2018 13:03,LongEntry,ProfitTarget,$495.82 ,"$6,426.96 ",$4.18 ,$110.00 ,$510.00 ,17
229,NQ MAR25,Short,1,8868.75,8873,1/15/2018 12:45,1/15/2018 13:00,ShortEntry,StopLoss,($89.18),"$6,337.78 ",$4.18 ,$105.00 ,$0.00 ,3
230,NQ MAR25,Short,1,8898,8877.5,1/16/2018 11:33,1/16/2018 13:21,ShortEntry,ProfitTarget,$405.82 ,"$6,743.60 ",$4.18 ,$215.00 ,$590.00 ,13
231,NQ MAR25,Short,1,8875.5,8890.25,1/17/2018 12:00,1/17/2018 12:54,ShortEntry,StopLoss,($299.18),"$6,444.42 ",$4.18 ,$345.00 ,$50.00 ,7
232,NQ MAR25,Long,1,8912.25,8905.25,1/18/2018 11:06,1/18/2018 12:00,LongEntry,StopLoss,($144.18),"$6,300.24 ",$4.18 ,$295.00 ,$215.00 ,7
233,NQ MAR25,Long,1,8927,8918,1/19/2018 11:42,1/19/2018 12:09,LongEntry,StopLoss,($184.18),"$6,116.06 ",$4.18 ,$230.00 ,$50.00 ,4
234,NQ MAR25,Long,1,8973.25,8990,1/22/2018 10:39,1/22/2018 12:18,LongEntry,ProfitTarget,$330.82 ,"$6,446.88 ",$4.18 ,$65.00 ,$405.00 ,12
235,NQ MAR25,Long,1,9069.75,9060.25,1/23/2018 11:06,1/23/2018 11:51,LongEntry,StopLoss,($194.18),"$6,252.70 ",$4.18 ,$200.00 ,$75.00 ,6
236,NQ MAR25,Short,1,9078.25,9046.25,1/24/2018 11:15,1/24/2018 11:24,ShortEntry,ProfitTarget,$635.82 ,"$6,888.52 ",$4.18 ,$25.00 ,$650.00 ,2
237,NQ MAR25,Long,1,9052,9033.5,1/25/2018 12:00,1/25/2018 13:12,LongEntry,StopLoss,($374.18),"$6,514.34 ",$4.18 ,$375.00 ,$230.00 ,9
238,NQ MAR25,Short,1,9068.75,9078.25,1/26/2018 12:27,1/26/2018 13:12,ShortEntry,StopLoss,($194.18),"$6,320.16 ",$4.18 ,$210.00 ,$0.00 ,6
239,NQ MAR25,Long,1,9095,9089.5,1/29/2018 11:51,1/29/2018 17:00,LongEntry,Exit on session close,($114.18),"$6,205.98 ",$4.18 ,$405.00 ,$545.00 ,35
240,NQ MAR25,Long,1,9032,9020.5,1/30/2018 10:48,1/30/2018 13:12,LongEntry,StopLoss,($234.18),"$5,971.80 ",$4.18 ,$325.00 ,$640.00 ,17
241,NQ MAR25,Short,1,9063.75,9029.5,1/31/2018 11:15,1/31/2018 15:00,ShortEntry,ProfitTarget,$680.82 ,"$6,652.62 ",$4.18 ,$205.00 ,$730.00 ,26
242,NQ MAR25,Short,1,9037.75,9030.75,2/1/2018 14:06,2/1/2018 17:00,ShortEntry,Exit on session close,$135.82 ,"$6,788.44 ",$4.18 ,$90.00 ,"$1,165.00 ",20
243,NQ MAR25,Long,1,8951.25,8939.5,2/2/2018 10:48,2/2/2018 11:51,LongEntry,StopLoss,($239.18),"$6,549.26 ",$4.18 ,$480.00 ,$185.00 ,8
244,NQ MAR25,Long,1,8898.5,8875.25,2/5/2018 10:39,2/5/2018 10:48,LongEntry,StopLoss,($469.18),"$6,080.08 ",$4.18 ,$465.00 ,$15.00 ,2
245,NQ MAR25,Short,1,8532.5,8596,2/6/2018 10:48,2/6/2018 10:57,ShortEntry,StopLoss,"($1,274.18)","$4,805.90 ",$4.18 ,"$1,515.00 ",$10.00 ,2
246,NQ MAR25,Long,1,8798.25,8787,2/7/2018 11:15,2/7/2018 12:09,LongEntry,StopLoss,($229.18),"$4,576.72 ",$4.18 ,$565.00 ,$285.00 ,7
247,NQ MAR25,Short,1,8620,8556,2/8/2018 10:57,2/8/2018 11:33,ShortEntry,ProfitTarget,"$1,275.82 ","$5,852.54 ",$4.18 ,$75.00 ,"$1,300.00 ",5
248,NQ MAR25,Short,1,8445.75,8346.5,2/9/2018 11:06,2/9/2018 12:18,ShortEntry,ProfitTarget,"$1,980.82 ","$7,833.36 ",$4.18 ,$375.00 ,"$2,110.00 ",9
249,NQ MAR25,Long,1,8584.5,8651,2/12/2018 11:24,2/12/2018 15:27,LongEntry,ProfitTarget,"$1,325.82 ","$9,159.18 ",$4.18 ,$250.00 ,"$1,440.00 ",28
250,NQ MAR25,Long,1,8615.5,8656,2/13/2018 12:18,2/13/2018 17:00,LongEntry,Exit on session close,$805.82 ,"$9,965.00 ",$4.18 ,$345.00 ,"$1,005.00 ",32
251,NQ MAR25,Long,1,8701.5,8761.5,2/14/2018 10:39,2/14/2018 14:24,LongEntry,ProfitTarget,"$1,195.82 ","$11,160.82 ",$4.18 ,$365.00 ,"$1,295.00 ",26
252,NQ MAR25,Short,1,8797.75,8820.25,2/15/2018 11:06,2/15/2018 11:33,ShortEntry,StopLoss,($454.18),"$10,706.64 ",$4.18 ,$455.00 ,$665.00 ,4
253,NQ MAR25,Long,1,8923.75,8911.5,2/16/2018 10:48,2/16/2018 11:15,LongEntry,StopLoss,($249.18),"$10,457.46 ",$4.18 ,$370.00 ,$10.00 ,4
254,NQ MAR25,Long,1,8891.5,8877.25,2/20/2018 10:39,2/20/2018 10:48,LongEntry,StopLoss,($289.18),"$10,168.28 ",$4.18 ,$295.00 ,$65.00 ,2
255,NQ MAR25,Long,1,8931.25,8963.25,2/21/2018 10:39,2/21/2018 14:24,LongEntry,ProfitTarget,$635.82 ,"$10,804.10 ",$4.18 ,$170.00 ,$840.00 ,26
256,NQ MAR25,Long,1,8909,8886,2/22/2018 10:39,2/22/2018 13:03,LongEntry,StopLoss,($464.18),"$10,339.92 ",$4.18 ,$700.00 ,$345.00 ,17
257,NQ MAR25,Long,1,8940.25,8971,2/23/2018 13:57,2/23/2018 15:09,LongEntry,ProfitTarget,$610.82 ,"$10,950.74 ",$4.18 ,$85.00 ,$705.00 ,9
258,NQ MAR25,Short,1,9035.25,9035,2/26/2018 10:48,2/26/2018 10:57,ShortEntry,StopLoss,$0.82 ,"$10,951.56 ",$4.18 ,$210.00 ,$30.00 ,2
259,NQ MAR25,Long,1,9097.5,9085,2/27/2018 10:39,2/27/2018 10:48,LongEntry,StopLoss,($254.18),"$10,697.38 ",$4.18 ,$315.00 ,$55.00 ,2
260,NQ MAR25,Long,1,9011,9051.25,2/28/2018 12:27,2/28/2018 14:06,LongEntry,ProfitTarget,$800.82 ,"$11,498.20 ",$4.18 ,$165.00 ,$840.00 ,12
261,NQ MAR25,Short,1,8944,8958.5,3/1/2018 11:15,3/1/2018 12:09,ShortEntry,StopLoss,($294.18),"$11,204.02 ",$4.18 ,$505.00 ,$350.00 ,7
262,NQ MAR25,Long,1,8845.75,8821.75,3/2/2018 12:18,3/2/2018 13:48,LongEntry,StopLoss,($484.18),"$10,719.84 ",$4.18 ,$625.00 ,$630.00 ,11
263,NQ MAR25,Long,1,8893.5,8939.25,3/5/2018 10:57,3/5/2018 11:42,LongEntry,ProfitTarget,$910.82 ,"$11,630.66 ",$4.18 ,$80.00 ,$985.00 ,6
264,NQ MAR25,Short,1,8992,9008.25,3/6/2018 11:15,3/6/2018 13:03,ShortEntry,StopLoss,($329.18),"$11,301.48 ",$4.18 ,$375.00 ,$510.00 ,13
265,NQ MAR25,Long,1,9003.25,8975,3/7/2018 10:57,3/7/2018 11:33,LongEntry,StopLoss,($569.18),"$10,732.30 ",$4.18 ,$600.00 ,$190.00 ,5
266,NQ MAR25,Short,1,9052.75,9063,3/8/2018 12:00,3/8/2018 12:09,ShortEntry,StopLoss,($209.18),"$10,523.12 ",$4.18 ,$230.00 ,$50.00 ,2
267,NQ MAR25,Long,1,9171.25,9196,3/9/2018 12:27,3/9/2018 17:00,LongEntry,Exit on session close,$490.82 ,"$11,013.94 ",$4.18 ,$115.00 ,$610.00 ,31
268,NQ MAR25,Short,1,9217.5,9232.25,3/12/2018 11:33,3/12/2018 11:51,ShortEntry,StopLoss,($299.18),"$10,714.76 ",$4.18 ,$320.00 ,$200.00 ,3
269,NQ MAR25,Short,1,9208.5,9161.25,3/13/2018 11:24,3/13/2018 12:18,ShortEntry,ProfitTarget,$940.82 ,"$11,655.58 ",$4.18 ,$130.00 ,"$1,110.00 ",7
270,NQ MAR25,Short,1,9129.75,9147.5,3/14/2018 11:33,3/14/2018 11:42,ShortEntry,StopLoss,($359.18),"$11,296.40 ",$4.18 ,$425.00 ,$25.00 ,2
271,NQ MAR25,Long,1,9144.5,9132,3/15/2018 10:39,3/15/2018 13:30,LongEntry,StopLoss,($254.18),"$11,042.22 ",$4.18 ,$310.00 ,$555.00 ,20
272,NQ MAR25,Long,1,9128.25,9116.75,3/16/2018 13:12,3/16/2018 13:30,LongEntry,StopLoss,($234.18),"$10,808.04 ",$4.18 ,$250.00 ,$0.00 ,3
273,NQ MAR25,Short,1,8976.5,8935.75,3/19/2018 11:15,3/19/2018 12:00,ShortEntry,ProfitTarget,$810.82 ,"$11,618.86 ",$4.18 ,$155.00 ,"$1,015.00 ",6
274,NQ MAR25,Short,1,8950.25,8978.75,3/20/2018 12:09,3/20/2018 12:36,ShortEntry,StopLoss,($574.18),"$11,044.68 ",$4.18 ,$610.00 ,$120.00 ,4
275,NQ MAR25,Long,1,8982,8999.5,3/21/2018 11:51,3/21/2018 14:15,LongEntry,ProfitTarget,$345.82 ,"$11,390.50 ",$4.18 ,$110.00 ,$780.00 ,17
276,NQ MAR25,Short,1,8841.25,8795.75,3/22/2018 10:57,3/22/2018 11:51,ShortEntry,ProfitTarget,$905.82 ,"$12,296.32 ",$4.18 ,$135.00 ,$955.00 ,7
277,NQ MAR25,Short,1,8744,8746.75,3/23/2018 11:42,3/23/2018 14:15,ShortEntry,StopLoss,($59.18),"$12,237.14 ",$4.18 ,$505.00 ,"$1,060.00 ",18
278,NQ MAR25,Long,1,8687,8733.5,3/26/2018 12:00,3/26/2018 13:39,LongEntry,ProfitTarget,$925.82 ,"$13,162.96 ",$4.18 ,$330.00 ,"$1,225.00 ",12
279,NQ MAR25,Long,1,8871.25,8846.25,3/27/2018 12:00,3/27/2018 12:18,LongEntry,StopLoss,($504.18),"$12,658.78 ",$4.18 ,$545.00 ,$5.00 ,3
280,NQ MAR25,Long,1,8620,8588.5,3/28/2018 12:36,3/28/2018 13:03,LongEntry,StopLoss,($634.18),"$12,024.60 ",$4.18 ,$860.00 ,$35.00 ,4
281,NQ MAR25,Long,1,8619,8596.5,3/29/2018 11:06,3/29/2018 12:18,LongEntry,StopLoss,($454.18),"$11,570.42 ",$4.18 ,$485.00 ,$605.00 ,9
282,NQ MAR25,Short,1,8497.5,8447.75,4/2/2018 11:24,4/2/2018 11:51,ShortEntry,ProfitTarget,$990.82 ,"$12,561.24 ",$4.18 ,$380.00 ,"$1,180.00 ",4
283,NQ MAR25,Long,1,8482,8526,4/3/2018 10:57,4/3/2018 11:24,LongEntry,ProfitTarget,$875.82 ,"$13,437.06 ",$4.18 ,$135.00 ,"$1,460.00 ",4
284,NQ MAR25,Long,1,8489.5,8556.5,4/4/2018 11:15,4/4/2018 12:27,LongEntry,ProfitTarget,"$1,335.82 ","$14,772.88 ",$4.18 ,$295.00 ,"$1,525.00 ",9
285,NQ MAR25,Short,1,8678.5,8701.5,4/5/2018 12:36,4/5/2018 13:12,ShortEntry,StopLoss,($464.18),"$14,308.70 ",$4.18 ,$465.00 ,$140.00 ,5
286,NQ MAR25,Short,1,8597.75,8618.5,4/6/2018 12:45,4/6/2018 13:12,ShortEntry,StopLoss,($419.18),"$13,889.52 ",$4.18 ,$665.00 ,$55.00 ,4
287,NQ MAR25,Long,1,8631,8677.75,4/9/2018 10:57,4/9/2018 12:18,LongEntry,ProfitTarget,$930.82 ,"$14,820.34 ",$4.18 ,$250.00 ,"$1,025.00 ",10
288,NQ MAR25,Long,1,8657.75,8622.75,4/10/2018 10:39,4/10/2018 12:36,LongEntry,StopLoss,($704.18),"$14,116.16 ",$4.18 ,$790.00 ,$625.00 ,14
289,NQ MAR25,Long,1,8710.25,8696.75,4/11/2018 10:48,4/11/2018 11:06,LongEntry,StopLoss,($274.18),"$13,841.98 ",$4.18 ,$425.00 ,$115.00 ,3
290,NQ MAR25,Long,1,8755,8739.25,4/12/2018 10:39,4/12/2018 10:57,LongEntry,StopLoss,($319.18),"$13,522.80 ",$4.18 ,$400.00 ,$20.00 ,3
291,NQ MAR25,Short,1,8712.5,8726.5,4/13/2018 10:39,4/13/2018 10:57,ShortEntry,StopLoss,($284.18),"$13,238.62 ",$4.18 ,$310.00 ,$215.00 ,3
292,NQ MAR25,Long,1,8743,8776.75,4/16/2018 12:00,4/16/2018 13:30,LongEntry,ProfitTarget,$670.82 ,"$13,909.44 ",$4.18 ,$175.00 ,$785.00 ,11
293,NQ MAR25,Long,1,8876.75,8905.5,4/17/2018 11:15,4/17/2018 15:00,LongEntry,ProfitTarget,$570.82 ,"$14,480.26 ",$4.18 ,$90.00 ,$615.00 ,26
294,NQ MAR25,Long,1,8903.25,8929.5,4/18/2018 10:57,4/18/2018 13:30,LongEntry,ProfitTarget,$520.82 ,"$15,001.08 ",$4.18 ,$55.00 ,$575.00 ,18
295,NQ MAR25,Short,1,8858.25,8849.5,4/19/2018 11:06,4/19/2018 17:00,ShortEntry,Exit on session close,$170.82 ,"$15,171.90 ",$4.18 ,$300.00 ,$615.00 ,40
296,NQ MAR25,Long,1,8810.25,8799,4/20/2018 10:48,4/20/2018 10:57,LongEntry,StopLoss,($229.18),"$14,942.72 ",$4.18 ,$275.00 ,$95.00 ,2
297,NQ MAR25,Long,1,8787,8770.5,4/23/2018 11:15,4/23/2018 12:27,LongEntry,StopLoss,($334.18),"$14,608.54 ",$4.18 ,$355.00 ,$265.00 ,9
298,NQ MAR25,Short,1,8677.75,8690.25,4/24/2018 10:48,4/24/2018 10:57,ShortEntry,StopLoss,($254.18),"$14,354.36 ",$4.18 ,$320.00 ,$105.00 ,2
299,NQ MAR25,Long,1,8585.5,8564.25,4/25/2018 10:57,4/25/2018 12:18,LongEntry,StopLoss,($429.18),"$13,925.18 ",$4.18 ,$560.00 ,$635.00 ,10
300,NQ MAR25,Short,1,8697,8717,4/26/2018 12:09,4/26/2018 12:36,ShortEntry,StopLoss,($404.18),"$13,521.00 ",$4.18 ,$420.00 ,$15.00 ,4
301,NQ MAR25,Short,1,8712,8720.25,4/27/2018 10:48,4/27/2018 11:15,ShortEntry,StopLoss,($169.18),"$13,351.82 ",$4.18 ,$365.00 ,$335.00 ,4
302,NQ MAR25,Short,1,8725.25,8685.25,4/30/2018 11:51,4/30/2018 12:18,ShortEntry,ProfitTarget,$795.82 ,"$14,147.64 ",$4.18 ,$95.00 ,$805.00 ,4
303,NQ MAR25,Short,1,8672,8695.5,5/1/2018 13:12,5/1/2018 13:57,ShortEntry,StopLoss,($474.18),"$13,673.46 ",$4.18 ,$530.00 ,$185.00 ,6
304,NQ MAR25,Short,1,8756.75,8774.5,5/2/2018 10:57,5/2/2018 14:15,ShortEntry,StopLoss,($359.18),"$13,314.28 ",$4.18 ,$445.00 ,$710.00 ,23
305,NQ MAR25,Short,1,8660.75,8612.75,5/3/2018 10:39,5/3/2018 11:06,ShortEntry,ProfitTarget,$955.82 ,"$14,270.10 ",$4.18 ,$65.00 ,"$1,010.00 ",4
306,NQ MAR25,Long,1,8785,8828,5/4/2018 10:48,5/4/2018 12:54,LongEntry,ProfitTarget,$855.82 ,"$15,125.92 ",$4.18 ,$25.00 ,$925.00 ,15
307,NQ MAR25,Long,1,8908.5,8900.75,5/7/2018 13:57,5/7/2018 15:09,LongEntry,StopLoss,($159.18),"$14,966.74 ",$4.18 ,$295.00 ,$300.00 ,9
308,NQ MAR25,Long,1,8881.75,8871.75,5/8/2018 13:57,5/8/2018 14:15,LongEntry,StopLoss,($204.18),"$14,762.56 ",$4.18 ,$320.00 ,$25.00 ,3
309,NQ MAR25,Long,1,8910,8943.5,5/9/2018 12:18,5/9/2018 13:03,LongEntry,ProfitTarget,$665.82 ,"$15,428.38 ",$4.18 ,$55.00 ,$720.00 ,6
310,NQ MAR25,Long,1,9008.25,9026.5,5/10/2018 10:48,5/10/2018 12:27,LongEntry,ProfitTarget,$360.82 ,"$15,789.20 ",$4.18 ,$40.00 ,$485.00 ,12
311,NQ MAR25,Short,1,9017,9029.5,5/11/2018 12:45,5/11/2018 17:00,ShortEntry,Exit on session close,($254.18),"$15,535.02 ",$4.18 ,$345.00 ,$330.00 ,29
312,NQ MAR25,Long,1,9081.5,9076.25,5/14/2018 10:48,5/14/2018 11:06,LongEntry,StopLoss,($109.18),"$15,425.84 ",$4.18 ,$160.00 ,$85.00 ,3
313,NQ MAR25,Long,1,8978.25,8959.25,5/15/2018 10:48,5/15/2018 10:57,LongEntry,StopLoss,($384.18),"$15,041.66 ",$4.18 ,$395.00 ,$45.00 ,2
314,NQ MAR25,Long,1,9004.25,8992.75,5/16/2018 10:48,5/16/2018 11:06,LongEntry,StopLoss,($234.18),"$14,807.48 ",$4.18 ,$300.00 ,$85.00 ,3
315,NQ MAR25,Long,1,9010,9023,5/17/2018 10:39,5/17/2018 11:15,LongEntry,ProfitTarget,$255.82 ,"$15,063.30 ",$4.18 ,$70.00 ,$485.00 ,5
316,NQ MAR25,Short,1,8964.5,8977.5,5/21/2018 11:42,5/21/2018 12:09,ShortEntry,StopLoss,($264.18),"$14,799.12 ",$4.18 ,$260.00 ,$215.00 ,4
317,NQ MAR25,Short,1,8982,8991.75,5/22/2018 10:39,5/22/2018 10:48,ShortEntry,StopLoss,($199.18),"$14,599.94 ",$4.18 ,$220.00 ,$65.00 ,2
318,NQ MAR25,Short,1,8942,8954,5/23/2018 10:57,5/23/2018 11:33,ShortEntry,StopLoss,($244.18),"$14,355.76 ",$4.18 ,$315.00 ,$215.00 ,5
319,NQ MAR25,Short,1,8985.5,8991.25,5/24/2018 10:48,5/24/2018 12:00,ShortEntry,StopLoss,($119.18),"$14,236.58 ",$4.18 ,$255.00 ,$560.00 ,9
320,NQ MAR25,Long,1,9055.5,9051,5/25/2018 10:39,5/25/2018 11:06,LongEntry,StopLoss,($94.18),"$14,142.40 ",$4.18 ,$250.00 ,$90.00 ,4
321,NQ MAR25,Long,1,9063.25,9057.5,5/28/2018 10:57,5/28/2018 12:09,LongEntry,StopLoss,($119.18),"$14,023.22 ",$4.18 ,$150.00 ,$145.00 ,9
322,NQ MAR25,Short,1,9020.5,9030.5,5/29/2018 10:48,5/29/2018 10:57,ShortEntry,StopLoss,($204.18),"$13,819.04 ",$4.18 ,$315.00 ,$10.00 ,2
323,NQ MAR25,Short,1,9047.5,9054.5,5/30/2018 13:03,5/30/2018 14:06,ShortEntry,StopLoss,($144.18),"$13,674.86 ",$4.18 ,$270.00 ,$135.00 ,8
324,NQ MAR25,Long,1,9089.75,9075.75,5/31/2018 12:00,5/31/2018 12:18,LongEntry,StopLoss,($284.18),"$13,390.68 ",$4.18 ,$300.00 ,$20.00 ,3
325,NQ MAR25,Long,1,9143.25,9157.75,6/1/2018 11:15,6/1/2018 17:00,LongEntry,Exit on session close,$285.82 ,"$13,676.50 ",$4.18 ,$110.00 ,$390.00 ,39
326,NQ MAR25,Long,1,9193.75,9217.75,6/4/2018 11:15,6/4/2018 12:36,LongEntry,ProfitTarget,$475.82 ,"$14,152.32 ",$4.18 ,$130.00 ,$495.00 ,10
327,NQ MAR25,Short,1,9221.25,9232,6/5/2018 12:00,6/5/2018 13:21,ShortEntry,StopLoss,($219.18),"$13,933.14 ",$4.18 ,$220.00 ,$170.00 ,10
328,NQ MAR25,Long,1,9253.75,9242,6/6/2018 11:33,6/6/2018 13:30,LongEntry,StopLoss,($239.18),"$13,693.96 ",$4.18 ,$235.00 ,$210.00 ,14
329,NQ MAR25,Short,1,9237.75,9218.5,6/7/2018 10:39,6/7/2018 10:48,ShortEntry,ProfitTarget,$380.82 ,"$14,074.78 ",$4.18 ,$10.00 ,$550.00 ,2
330,NQ MAR25,Long,1,9218.5,9223.25,6/8/2018 12:36,6/8/2018 17:00,LongEntry,Exit on session close,$90.82 ,"$14,165.60 ",$4.18 ,$140.00 ,$355.00 ,30
331,NQ MAR25,Short,1,9222.75,9235,6/11/2018 10:57,6/11/2018 11:15,ShortEntry,StopLoss,($249.18),"$13,916.42 ",$4.18 ,$295.00 ,$30.00 ,3
332,NQ MAR25,Long,1,9278,9261,6/12/2018 12:00,6/12/2018 14:42,LongEntry,StopLoss,($344.18),"$13,572.24 ",$4.18 ,$390.00 ,$260.00 ,19
333,NQ MAR25,Long,1,9317.25,9310,6/13/2018 10:39,6/13/2018 10:48,LongEntry,StopLoss,($149.18),"$13,423.06 ",$4.18 ,$160.00 ,$80.00 ,2
334,NQ MAR25,Long,1,9354.75,9342.25,6/14/2018 10:39,6/14/2018 10:48,LongEntry,StopLoss,($254.18),"$13,168.88 ",$4.18 ,$290.00 ,$20.00 ,2
335,NQ MAR25,Long,1,9316.5,9299,6/15/2018 10:39,6/15/2018 10:48,LongEntry,StopLoss,($354.18),"$12,814.70 ",$4.18 ,$375.00 ,$0.00 ,2
336,NQ MAR25,Long,1,9319.5,9307.5,6/18/2018 11:06,6/18/2018 12:36,LongEntry,StopLoss,($244.18),"$12,570.52 ",$4.18 ,$255.00 ,$195.00 ,11
337,NQ MAR25,Long,1,9242.25,9285.75,6/19/2018 11:15,6/19/2018 14:24,LongEntry,ProfitTarget,$865.82 ,"$13,436.34 ",$4.18 ,$15.00 ,$910.00 ,22
338,NQ MAR25,Short,1,9343,9350.5,6/20/2018 10:48,6/20/2018 11:15,ShortEntry,StopLoss,($154.18),"$13,282.16 ",$4.18 ,$250.00 ,$120.00 ,4
339,NQ MAR25,Short,1,9303.5,9316.25,6/21/2018 10:39,6/21/2018 11:15,ShortEntry,StopLoss,($259.18),"$13,022.98 ",$4.18 ,$335.00 ,$390.00 ,5
340,NQ MAR25,Long,1,9269,9267.25,6/22/2018 11:24,6/22/2018 17:00,LongEntry,Exit on session close,($39.18),"$12,983.80 ",$4.18 ,$165.00 ,$585.00 ,38
341,NQ MAR25,Short,1,9144.25,9139.5,6/25/2018 10:39,6/25/2018 11:06,ShortEntry,StopLoss,$90.82 ,"$13,074.62 ",$4.18 ,$335.00 ,$190.00 ,4
342,NQ MAR25,Short,1,9110.5,9133,6/26/2018 10:57,6/26/2018 11:06,ShortEntry,StopLoss,($454.18),"$12,620.44 ",$4.18 ,$480.00 ,$10.00 ,2
343,NQ MAR25,Short,1,9164,9108.25,6/27/2018 11:24,6/27/2018 13:21,ShortEntry,ProfitTarget,"$1,110.82 ","$13,731.26 ",$4.18 ,$180.00 ,"$1,205.00 ",14
344,NQ MAR25,Long,1,9067.25,9119.75,6/28/2018 11:15,6/28/2018 15:27,LongEntry,ProfitTarget,"$1,045.82 ","$14,777.08 ",$4.18 ,$435.00 ,"$1,155.00 ",29
345,NQ MAR25,Long,1,9110.25,9151.25,7/2/2018 13:57,7/2/2018 14:42,LongEntry,ProfitTarget,$815.82 ,"$15,592.90 ",$4.18 ,$25.00 ,$840.00 ,6
346,NQ MAR25,Short,1,9089,9071.75,7/3/2018 13:03,7/3/2018 13:15,ShortEntry,Exit on session close,$340.82 ,"$15,933.72 ",$4.18 ,$45.00 ,$345.00 ,3
347,NQ MAR25,Long,1,9090.5,9090.75,7/4/2018 12:45,7/4/2018 13:00,LongEntry,Exit on session close,$0.82 ,"$15,934.54 ",$4.18 ,$25.00 ,$60.00 ,3
348,NQ MAR25,Short,1,9114,9134.75,7/5/2018 10:39,7/5/2018 11:42,ShortEntry,StopLoss,($419.18),"$15,515.36 ",$4.18 ,$450.00 ,$465.00 ,8
349,NQ MAR25,Long,1,9221.75,9258.5,7/6/2018 11:06,7/6/2018 11:51,LongEntry,ProfitTarget,$730.82 ,"$16,246.18 ",$4.18 ,$10.00 ,$800.00 ,6
350,NQ MAR25,Long,1,9312.75,9306.25,7/9/2018 11:24,7/9/2018 11:42,LongEntry,StopLoss,($134.18),"$16,112.00 ",$4.18 ,$195.00 ,$145.00 ,3
351,NQ MAR25,Long,1,9362,9358.25,7/10/2018 10:57,7/10/2018 11:06,LongEntry,StopLoss,($79.18),"$16,032.82 ",$4.18 ,$200.00 ,$0.00 ,2
352,NQ MAR25,Long,1,9334.25,9320.5,7/11/2018 10:39,7/11/2018 11:06,LongEntry,StopLoss,($279.18),"$15,753.64 ",$4.18 ,$335.00 ,$85.00 ,4
353,NQ MAR25,Long,1,9389,9408.25,7/12/2018 10:39,7/12/2018 12:18,LongEntry,ProfitTarget,$380.82 ,"$16,134.46 ",$4.18 ,$190.00 ,$480.00 ,12
354,NQ MAR25,Long,1,9445.25,9436,7/13/2018 10:39,7/13/2018 13:30,LongEntry,StopLoss,($189.18),"$15,945.28 ",$4.18 ,$235.00 ,$165.00 ,20
355,NQ MAR25,Short,1,9431.25,9444.25,7/16/2018 11:15,7/16/2018 12:36,ShortEntry,StopLoss,($264.18),"$15,681.10 ",$4.18 ,$290.00 ,$130.00 ,10
356,NQ MAR25,Long,1,9421.25,9451.75,7/17/2018 11:06,7/17/2018 12:27,LongEntry,ProfitTarget,$605.82 ,"$16,286.92 ",$4.18 ,$70.00 ,$640.00 ,10
357,NQ MAR25,Long,1,9448,9446.75,7/18/2018 11:15,7/18/2018 17:00,LongEntry,Exit on session close,($29.18),"$16,257.74 ",$4.18 ,$60.00 ,$360.00 ,39
358,NQ MAR25,Long,1,9430.25,9415.5,7/19/2018 11:24,7/19/2018 12:54,LongEntry,StopLoss,($299.18),"$15,958.56 ",$4.18 ,$300.00 ,$300.00 ,11
359,NQ MAR25,Long,1,9457.5,9451.5,7/20/2018 10:57,7/20/2018 11:24,LongEntry,StopLoss,($124.18),"$15,834.38 ",$4.18 ,$245.00 ,$35.00 ,4
360,NQ MAR25,Short,1,9399,9410.25,7/23/2018 11:33,7/23/2018 11:42,ShortEntry,StopLoss,($229.18),"$15,605.20 ",$4.18 ,$245.00 ,$0.00 ,2
361,NQ MAR25,Long,1,9528,9518,7/24/2018 10:39,7/24/2018 10:57,LongEntry,StopLoss,($204.18),"$15,401.02 ",$4.18 ,$270.00 ,$105.00 ,3
362,NQ MAR25,Long,1,9486,9520,7/25/2018 11:33,7/25/2018 12:54,LongEntry,ProfitTarget,$675.82 ,"$16,076.84 ",$4.18 ,$15.00 ,$740.00 ,10
363,NQ MAR25,Long,1,9486.75,9476.25,7/26/2018 11:33,7/26/2018 11:51,LongEntry,StopLoss,($214.18),"$15,862.66 ",$4.18 ,$325.00 ,$30.00 ,3
364,NQ MAR25,Short,1,9420.25,9432,7/27/2018 11:06,7/27/2018 11:15,ShortEntry,StopLoss,($239.18),"$15,623.48 ",$4.18 ,$305.00 ,$65.00 ,2
365,NQ MAR25,Short,1,9228.25,9249.5,7/30/2018 13:03,7/30/2018 13:21,ShortEntry,StopLoss,($429.18),"$15,194.30 ",$4.18 ,$430.00 ,$70.00 ,3
366,NQ MAR25,Long,1,9274,9317.25,7/31/2018 11:06,7/31/2018 12:18,LongEntry,ProfitTarget,$860.82 ,"$16,055.12 ",$4.18 ,$150.00 ,"$1,040.00 ",9
367,NQ MAR25,Short,1,9307.75,9319.25,8/1/2018 12:00,8/1/2018 12:18,ShortEntry,StopLoss,($234.18),"$15,820.94 ",$4.18 ,$275.00 ,$55.00 ,3
